amfi_code,start_nav,end_nav,years,cagr_pct
100016,520.46,583.61,4.4,2.64
100025,26.32,31.88,4.4,4.46
100033,107.38,342.01,4.4,30.12
101206,305.1,773.29,4.4,23.54
101207,38.57,53.98,4.4,7.94
101208,310.74,410.1,4.4,6.51
102885,89.87,187.78,4.4,18.23
102886,119.29,125.56,4.4,1.17
102887,191.07,378.97,4.4,16.84
118632,42.83,110.56,4.4,24.05
118633,47.18,91.6,4.4,16.27
118634,69.11,134.67,4.4,16.37
118635,170.34,326.75,4.4,15.96
118636,30.12,37.82,4.4,5.32
119092,38.75,50.84,4.4,6.37
119093,41.81,58.42,4.4,7.9
119094,68.3,203.86,4.4,28.21
119095,52.52,56.13,4.4,1.52
119120,42.14,54.2,4.4,5.89
119551,54.39,149.32,4.4,25.8
119552,58.42,137.73,4.4,21.52
119598,89.87,309.2,4.4,32.42
119599,96.46,105.48,4.4,2.05
120503,55.4,118.15,4.4,18.79
120504,60.15,151.13,4.4,23.3
120505,135.87,473.76,4.4,32.83
120506,202.05,404.42,4.4,17.08
120507,285.74,388.59,4.4,7.24
120841,275.84,482.13,4.4,13.53
120842,62.13,82.65,4.4,6.7
120843,49.91,163.24,4.4,30.91
120844,3180.63,4268.55,4.4,6.92
125497,560.14,1204.96,4.4,19.02
125498,117.6,188.36,4.4,11.3
148567,70.25,230.27,4.4,30.97
148568,84.08,205.45,4.4,22.52
148569,28.86,97.74,4.4,31.95
149322,348.72,606.23,4.4,13.39
149323,78.46,245.37,4.4,29.58
149324,81.68,279.75,4.4,32.29
