amfi_code,sortino_ratio
100016,-0.351
100025,-0.942
100033,1.829
101206,1.8
101207,0.277
101208,-1.681
102885,1.436
102886,-0.347
102887,1.089
118632,1.85
118633,1.154
118634,0.746
118635,1.138
118636,-0.614
119092,0.053
119093,0.221
119094,1.704
119095,-0.128
119120,-0.377
119551,2.14
119552,1.61
119598,1.675
119599,-0.094
120503,1.338
120504,1.805
120505,2.029
120506,1.096
120507,1.052
120841,0.863
120842,0.125
120843,2.364
120844,-0.188
125497,1.331
125498,0.509
148567,2.386
148568,1.633
148569,2.147
149322,0.762
149323,1.875
149324,1.62
