amfi_code,var_95_pct,cvar_95_pct
100016,-1.44,-1.81
100025,-0.38,-0.5
100033,-1.9,-2.35
101206,-1.33,-1.74
101207,-2.6,-3.25
101208,-0.03,-0.04
102885,-1.26,-1.55
102886,-1.92,-2.33
102887,-1.52,-1.94
118632,-1.4,-1.76
118633,-1.34,-1.66
118634,-2.54,-3.23
118635,-1.26,-1.62
118636,-0.38,-0.49
119092,-1.37,-1.73
119093,-1.42,-1.75
119094,-1.85,-2.43
119095,-2.62,-3.17
119120,-0.39,-0.5
119551,-1.28,-1.64
119552,-1.35,-1.73
119598,-2.45,-3.06
119599,-2.69,-3.24
120503,-1.36,-1.75
120504,-1.37,-1.75
120505,-1.89,-2.43
120506,-1.44,-1.94
120507,-0.02,-0.04
120841,-1.31,-1.64
120842,-1.82,-2.27
120843,-1.45,-1.84
120844,-0.03,-0.04
125497,-1.46,-1.83
125498,-1.84,-2.31
148567,-1.36,-1.76
148568,-1.47,-1.88
148569,-1.71,-2.13
149322,-1.45,-1.84
149323,-1.79,-2.26
149324,-2.35,-3.1
